DataType,SortType,ArraySize,Threshold,Time_us
AlmostSorted,Hybrid,3500,20,27.6
AlmostSorted,Hybrid,3500,30,22.8
AlmostSorted,Hybrid,3500,50,22.2
AlmostSorted,Hybrid,3500,100,19.6
Random,Standard,4000,0,197
Random,Hybrid,4000,5,117.2
Random,Hybrid,4000,10,81.2
Random,Hybrid,4000,20,66
Random,Hybrid,4000,30,49.4
Random,Hybrid,4000,50,75.6
Random,Hybrid,4000,100,64.8
Reversed,Standard,4000,0,107.8
Reversed,Hybrid,4000,5,51.2
Reversed,Hybrid,4000,10,40.2
Reversed,Hybrid,4000,20,37
Reversed,Hybrid,4000,30,36.4
Reversed,Hybrid,4000,50,40.4
Reversed,Hybrid,4000,100,54.2
AlmostSorted,Standard,4000,0,110.4
AlmostSorted,Hybrid,4000,5,51.4
AlmostSorted,Hybrid,4000,10,38
AlmostSorted,Hybrid,4000,20,32.8
AlmostSorted,Hybrid,4000,30,44.6
AlmostSorted,Hybrid,4000,50,26
AlmostSorted,Hybrid,4000,100,22
Random,Standard,4500,0,258
Random,Hybrid,4500,5,151.8
Random,Hybrid,4500,10,109.8
Random,Hybrid,4500,20,94.2
Random,Hybrid,4500,30,70
Random,Hybrid,4500,50,86.4
Random,Hybrid,4500,100,79.4
Reversed,Standard,4500,0,125
Reversed,Hybrid,4500,5,56.4
Reversed,Hybrid,4500,10,45.2
Reversed,Hybrid,4500,20,42.8
Reversed,Hybrid,4500,30,42.2
Reversed,Hybrid,4500,50,48.2
Reversed,Hybrid,4500,100,67.6
AlmostSorted,Standard,4500,0,126.4
AlmostSorted,Hybrid,4500,5,61.2
AlmostSorted,Hybrid,4500,10,44.2
AlmostSorted,Hybrid,4500,20,35.4
AlmostSorted,Hybrid,4500,30,34.4
AlmostSorted,Hybrid,4500,50,29.8
AlmostSorted,Hybrid,4500,100,25.4
Random,Standard,5000,0,266.8
Random,Hybrid,5000,5,156.2
Random,Hybrid,5000,10,125.8
Random,Hybrid,5000,20,115.4
Random,Hybrid,5000,30,102.8
